,cast,director,runtime,genres,production_companies,budget_adj,revenue_adj
7791,T. J. Thyne|Vicki Davis|Pam Cooke|Manolo Travieso Hurst|Danielle Kaplowitz,Kurt Kuenne,16,Comedy|Romance,Theatre Junkies,0.0,0.0
7793,Bai Ling|Alec Newman|Parry Shen|Faye Dunaway|Ethan Cohn,Pearry Reginald Teo,96,Action|Science Fiction,Ascension Pictures|Red Cam Studios|Middle Link,2629171.457,0.0
7794,Kierston Wareing|Juliet Ellis|Leslaw Zurek|Colin Caughlin|Joe Siffleet,Ken Loach,96,Drama,BIM Distribuzione|Filmstiftung Nordrhein-Westfalen|PathÃ© Distribution|Polish Film Institute|Tornasol Films,0.0,0.0
7796,Bill Farmer|Corey Burton,Kevin Deters|Stevie Wermers,6,Animation|Comedy,Walt Disney Pictures|Walt Disney Animation Studios,0.0,0.0
7797,Cedric the Entertainer|Lucy Liu|Nicollette Sheridan|Mark Dacascos|Callum Keith Rennie,Les Mayfield,84,Action|Comedy|Crime,New Line Cinema,21033371.65,10871599.78
7798,Zach Galifianakis|Joe Wagner|Brian Unger,Michael Blieden,61,Comedy,Red Envelope Entertainment|NetFlix|Sixth Way Productions|The Claw|Anacol Productions Inc.,0.0,0.0
7799,Jaime King|Terry Chen|Cheng Pei-Pei|Henry O|Michael Biehn,Ernie Barbarash,89,Horror|Mystery|Thriller,Brightlight Pictures Inc.|TVA Films,0.0,0.0
7800,GÃ©rard Depardieu|Nathalie Baye|Mathieu Amalric|Samy Seghir|Catherine Hiegel,Thomas Gilou,124,Drama|Thriller,TF1 Films Production|EuropaCorp.|MP Productions,0.0,0.0
7801,Akshay Kumar|Fardeen Khan|Ritesh Deshmukh|Vidya Balan|Boman Irani,Sajid Khan,160,Drama|Comedy|Romance|Foreign,Nadiadwala Grandsons,0.0,12620022.99
7802,Christian Slater|John Gulager|Elisha Cuthbert|Jamison Jones|Michael DeLuise,Frank A. Cappello,95,Romance|Comedy|Drama,Neo Art & Logic|Quiet Man Productions,0.0,0.0
7804,Isabella Rossellini|Erik Steffen Maahs|Sullivan Brown|Gretchen Krich|Maya Lawson,Guy Maddin,95,Drama|Fantasy,The Film Company,0.0,0.0
7807,Pascal Langdale|Georgia Mackenzie|Julia Ballard|Joanna Bobin|Annabelle Wallis,Luis CÃ¡mara,89,Horror|Thriller|Foreign,Abnormal Pictures|K5 Film,0.0,0.0
7810,Nicole Kidman|Jack Black|Jennifer Jason Leigh|John Turturro|CiarÃ¡n Hinds,Noah Baumbach,91,Comedy|Drama,Scott Rudin Productions,10516685.83,0.0
7812,Leah Rachel|Erin Reese|Germaine De Leon|Tobin Bell|Terence Jay,Robert Kurtzman,94,Action|Adventure|Horror|Thriller,Odd Lot Entertainment,0.0,0.0
7816,Nicholas D'Agosto|Margo Martindale|Reece Thompson|Anna Kendrick|Jonah Hill,Jeffrey Blitz,101,Comedy|Drama,HBO Films|W B I Films|Rocket Science Inc.|Duly Noted,0.0,0.0
7817,Ashley Benson|Cassie Scerbo|Noel Areizaga|Jennifer Tisdale|Kierstin Koppel,Steve Rash,90,Comedy,Universal Pictures|Beacon Communications,0.0,0.0
7818,Tamera Mowry|Tia Mowry|Patrick Fabian|Leslie Seiler|Karen Holness,Stuart Gillard,83,Drama|Family|Fantasy|TV Movie,Walt Disney Studios Home Entertainment|Disney Channel,0.0,0.0
7820,Nora Zehetner|Brenna O'Brien|Carly Pope|Don S. Davis|Tim Perez,Dagen Merrill,82,Horror|Mystery|Thriller,MTV Films|Paramount Classics,0.0,0.0
7821,Piotr Adamczyk|Magdalena Boczarska|Maria Gladkowska|Magdalena GÃ³rska|Tomasz Karolak,Tomasz Konecki|Andrzej Saramonowicz,116,Comedy,Van Worden,1156835.441,0.0
7823,Jean-Paul Rouve|MÃ©lanie Doutey|Kad Merad|Rhiles Djarouane|HÃ©lÃ¨ne Patarot,Olivier Baroux,84,Comedy,SPAD Films|KL Productions|Alter Films,0.0,0.0
7825,Sigourney Weaver|Tom Skerritt|Veronica Cartwright|Harry Dean Stanton|John Hurt,Ridley Scott,117,Horror|Action|Thriller|Science Fiction,Twentieth Century-Fox Productions|Brandywine Productions,33050094.03,315273262.7
7826,Martin Sheen|Marlon Brando|Robert Duvall|Laurence Fishburne|Sam Bottoms,Francis Ford Coppola,153,Drama|War,Zoetrope Studios,94643451.08,250794662.5
7827,Mel Gibson|Joanne Samuel|Hugh Keays-Byrne|Steve Bisley|Tim Burns,George Miller,93,Adventure|Action|Thriller|Science Fiction,Kennedy Miller Productions|Mad Max Films|Crossroads,1201821.601,300455400.3
7828,William Shatner|Leonard Nimoy|George Takei|James Doohan|Walter Koenig,Robert Wise,132,Science Fiction|Adventure|Mystery,Paramount Pictures,105159390.1,417633006.3
7829,Roger Moore|Lois Chiles|Michael Lonsdale|Corinne ClÃ©ry|Richard Kiel,Lewis Gilbert,126,Action|Adventure|Thriller|Science Fiction,Eon Productions,102154836.1,631857706.7
7830,Graham Chapman|John Cleese|Terry Gilliam|Eric Idle|Terry Jones,Terry Jones,94,Comedy,HandMade Films|Python (Monty) Pictures,12018216.01,60226630.5
7831,Uschi Digard|Ann Marie|Stuart Lancaster|Michael Finn|Sharon Ceccatti,Russ Meyer,93,Comedy,RM Films International,718088.4066,0.0
7832,Michael Beck|James Remar|David Patrick Kelly|Dorsey Wright|David Harris,Walter Hill,93,Action|Adventure|Crime|Drama|Thriller,Paramount Pictures,0.0,67572536.69
7833,Sylvester Stallone|Talia Shire|Burt Young|Carl Weathers|Burgess Meredith,Sylvester Stallone,119,Drama,United Artists,21031878.02,601458110.1
7834,Malcolm McDowell|Teresa Ann Savoy|Helen Mirren|Peter O'Toole|John Gielgud,Tinto Brass,156,Drama|History|Romance,Penthouse Films International|Felix Cinematorgrafica,52579695.04,70421097.26
7835,Woody Allen|Diane Keaton|Michael Murphy|Mariel Hemingway|Meryl Streep,Woody Allen,96,Comedy|Drama|Romance,Jack Rollins & Charles H. Joffe Productions,0.0,120022257.7
7836,Angus Scrimm|A. Michael Baldwin|Bill Thornbury|Reggie Bannister|Kathy Lester,Don Coscarelli,89,Horror|Science Fiction,New Breed Productions,901366.2008,36020002.52
7837,John Savage|Treat Williams|Annie Golden|Beverly D'Angelo|Dorsey Wright,MiloÅ¡ Forman,121,Drama|Comedy|History|Music,United Artists|CIP Filmproduktion GmbH,33050094.03,0.0
7838,James Brolin|Margot Kidder|Rod Steiger|Don Stroud|James Tolkan,Stuart Rosenberg,117,Drama|Horror|Thriller,American International Pictures (AIP),0.0,259689611.5
7839,Clint Eastwood|Patrick McGoohan|Roberts Blossom|Jack Thibeau|Fred Ward,Don Siegel,111,Crime|Drama,Paramount Pictures|Malpaso Company,24036432.02,129195822.1
7840,Roy Scheider|Jessica Lange|Leland Palmer|Ann Reinking|Ben Vereen,Bob Fosse,123,Drama|Music,Twentieth Century Fox Film Corporation|Columbia Pictures Corporation,0.0,113643277.1
7841,Klaus Kinski|Isabelle Adjani|Bruno Ganz|Roland Topor|Walter Ladengast,Werner Herzog,107,Drama|Horror,Gaumont|Werner Herzog Filmproduktion|Zweites Deutsches Fernsehen (ZDF),0.0,0.0
7842,Maximilian Schell|Anthony Perkins|Robert Forster|Joseph Bottoms|Ernest Borgnine,Gary Nelson,98,Adventure|Family|Science Fiction|Action,Walt Disney Productions,60091080.05,107688927.1
7843,Peter Sellers|Shirley MacLaine|Melvyn Douglas|Jack Warden|Richard Dysart,Hal Ashby,130,Comedy|Drama,United Artists|Lorimar Film Entertainment,0.0,90669961.46
7844,Bill Murray|Harvey Atkin|Kate Lynch|Russ Banham|Kristine DeBell,Ivan Reitman,92,Comedy,Canadian Film Development Corporation (CFDC)|Famous Players,0.0,0.0
7845,Kirk Douglas|Ann-Margret|Arnold Schwarzenegger|Paul Lynde|Foster Brooks,Hal Needham,89,Comedy|Western,Rastar Pictures,0.0,0.0
7846,David Soul|James Mason|Lance Kerwin|Bonnie Bedelia|Lew Ayres,Tobe Hooper,184,Mystery|Horror|Thriller,Warner Bros. Television,12018216.01,0.0
7847,Alain Delon|Susan Blakely|Robert Wagner|Sylvia Kristel|George Kennedy,David Lowell Rich,123,Action|Drama|Thriller,Universal Pictures,42063756.04,39106337.48
7848,Dustin Hoffman|Meryl Streep|Jane Alexander|Justin Henry|Howard Duff,Robert Benton,105,Drama,Columbia Pictures,24036432.02,319263908.3
7849,Jane Fonda|Jack Lemmon|Michael Douglas|Scott Brady|James Hampton,James Bridges,122,Thriller|Drama,Columbia Pictures|IPC Films,0.0,155390626.6
7850,Steve Martin|Bernadette Peters|Catlin Adams|Mabel King|Richard Ward,Carl Reiner,94,Comedy,Universal Pictures|Aspen Film Society,0.0,222221077.5
7851,Dan Aykroyd|Ned Beatty|John Belushi|Lorraine Gary|Murray Hamilton,Steven Spielberg,113,Action|Comedy,Columbia Pictures|Universal Pictures|A-Team,105159390.1,95411841.73
7852,Al Pacino|Jack Warden|John Forsythe|Christine Lahti|Lee Strasberg,Norman Jewison,119,Crime|Drama|Mystery|Thriller,Columbia Pictures Corporation,0.0,100051648.3
7853,Malcolm McDowell|David Warner|Mary Steenburgen|Charles Cioffi|Kent Williams,Nicholas Meyer,112,Adventure|Drama|Comedy|Science Fiction|Thriller,Orion Pictures,0.0,0.0
7854,Dennis Quaid|Daniel Stern|Jackie Earle Haley|Dennis Christopher|Barbara Barrie,Peter Yates,100,Drama|Comedy,Twentieth Century Fox Film Corporation,6910474.206,60091080.05
7855,Phil Daniels|Leslie Ash|Philip Davis|Mark Wingett|Timothy Spall,Franc Roddam,120,Drama|Music,Polytel|The Who Films,0.0,0.0
7856,Nastassja Kinski|Peter Firth|Leigh Lawson|John Collin|Sylvia Coleridge,Roman Polanski,171,Drama|Romance,Renn Productions|SociÃ©tÃ© FranÃ§aise de Production (SFP)|Timothy Burrill Productions,0.0,0.0
7857,Gene Wilder|Harrison Ford|Ramon Bieri|Val Bisoglio|George DiCenzo,Robert Aldrich,114,Western|Comedy,Warner Bros.,0.0,0.0
7858,Sean Connery|Donald Sutherland|Lesley-Anne Down|Alan Webb|Malcolm Terris,Michael Crichton,110,Thriller|Adventure|Drama|Crime,Starling Films,18027324.02,0.0
7859,Dudley Moore|Julie Andrews|Bo Derek|Robert Webber|Sam J. Jones,Blake Edwards,122,Comedy|Romance,Orion Pictures Corporation|Geoffrey Productions,0.0,0.0
7860,Kelly Reno|Mickey Rooney|Teri Garr|Clarence Muse|Hoyt Axton,Carroll Ballard,118,Adventure|Family,United Artists,8112295.807,113571068.7
7861,Robert Redford|Jane Fonda|Valerie Perrine|Willie Nelson|John Saxon,Sydney Pollack,122,Drama|Comedy|Western|Romance,Columbia Pictures|Universal Pictures|Wildwood Enterprises,0.0,185687359.3
7862,Mel Blanc,Chuck Jones,98,Comedy|Animation|Family,Warner Bros. Animation,0.0,0.0
7863,Richard Thomas|Ernest Borgnine|Donald Pleasence|Ian Holm|Patricia Neal,Delbert Mann,150,Drama|History|War,Norman Rosemont Productions|Marble Arch Productions|ITC Entertainment Group,0.0,0.0
7864,Tim Conway|Don Knotts|Tim Matheson|Kenneth Mars|Elyssa Davalos,Vincent McEveety,88,Comedy|Family|Western,Walt Disney Productions,0.0,0.0
7865,Sean Connery|Natalie Wood|Karl Malden|Brian Keith|Martin Landau,Ronald Neame,107,Action|Science Fiction|Thriller,Palladium Productions|American International Pictures (AIP)|Meteor Joint Venture,0.0,0.0
7866,Ray Winstone|Mick Ford|Julian Firth|John Blundell|Phil Daniels,Alan Clarke,98,Crime|Drama,Berwick Street Productions|Boyd's Company|Kendon Films Ltd.,1261912.681,0.0
7867,George C. Scott|Peter Boyle|Season Hubley|Dick Sargent|Leonard Gaines,Paul Schrader,109,Crime|Drama|Thriller,Columbia Pictures Corporation|A-Team,0.0,0.0
7868,Harrison Ford|Lesley-Anne Down|Christopher Plummer|Alec McCowen|William Hootkins,Peter Hyams,109,Drama|Romance|War,Columbia Pictures Corporation|Hanover Street,0.0,0.0
7869,George Hamilton|Susan Saint James|Richard Benjamin|Dick Shawn|Arte Johnson,Stan Dragoti,96,Romance|Comedy|Horror,Melvin Simon Productions|American International Pictures (AIP),0.0,131854852.4
7870,Oliver Reed|Samantha Eggar|Art Hindle|Henry Beckman|Nuala Fitzgerald,David Cronenberg,92,Horror|Thriller|Science Fiction,Canadian Film Development Corporation (CFDC)|Victor Solnicki Productions|Elgin International Films,4071170.673,0.0
7871,Glenn Ford|Lance Henriksen|John Huston|Joanne Nail|Sam Peckinpah,Giulio Paradisi,108,Science Fiction|Horror,Film Ventures International (FVI)|Brouwersgracht Investments|Swan American Film,2403643.202,0.0
7873,Carol Kane|Charles Durning|Colleen Dewhurst|Tony Beckley|Rutanya Alda,Fred Walton,97,Horror|Thriller,Columbia Pictures Corporation|Melvin Simon Productions,0.0,0.0
7874,John Savage|James Woods|Franklyn Seales|Ted Danson|Ronny Cox,Harold Becker,122,Crime|Drama,Black Marble Productions,0.0,0.0
7875,Ken Wahl|John Friedrich|Karen Allen|Toni Kalem|Alan Rosenberg,Philip Kaufman,117,Drama,Orion Pictures Corporation|Warner Bros. Home Entertainment Group,0.0,0.0
7876,Matt Dillon|Vincent Spano|Andy Romano|Ellen Geer|Michael Eric Kramer,Jonathan Kaplan,95,Crime|Drama,Orion Pictures,0.0,0.0
7877,Chuck Connors|Jocelyn Jones|Jon Van Ness|Robin Sherwood|Tanya Roberts,David Schmoeller,90,Horror|Mystery|Thriller,Charles Band Productions,0.0,0.0
7878,P.J. Soles|Vince Van Patten|Clint Howard|Mary Woronov|Dey Young,Allan Arkush,93,Comedy|Music,New World Pictures,901366.2008,0.0
7879,Sally Field|Beau Bridges|Ron Leibman|Pat Hingle|Barbara Baxley,Martin Ritt,110,Drama,Twentieth Century Fox Film Corporation,0.0,66785226.37
7880,Frank Langella|Laurence Olivier|Donald Pleasence|Kate Nelligan|Trevor Eve,John Badham,109,Horror|Romance,Universal Pictures|The Mirisch Corporation,0.0,0.0
7881,Jon Voight|Faye Dunaway|Ricky Schroder|Jack Warden|Arthur Hill,Franco Zeffirelli,121,Drama|Family,Metro-Goldwyn-Mayer (MGM),0.0,0.0
7882,Arnold Schwarzenegger|Michael Biehn|Linda Hamilton|Paul Winfield|Lance Henriksen,James Cameron,108,Action|Thriller|Science Fiction,Orion Pictures|Pacific Western|Hemdale Film|Cinema 84|Euro Film Funding,13433869.05,164504443.5
7883,Harrison Ford|Kate Capshaw|Jonathan Ke Quan|Amrish Puri|Roshan Seth,Steven Spielberg,118,Adventure|Action,Lucasfilm|Paramount Pictures,58773177.1,698980999.1
7884,Bill Murray|Dan Aykroyd|Sigourney Weaver|Harold Ramis|Rick Moranis,Ivan Reitman,107,Fantasy|Action|Comedy|Science Fiction|Family,Columbia Pictures Corporation|Delphi Films|Black Rhino Productions,62971261.18,619663378.7
7885,Zach Galligan|Phoebe Cates|Hoyt Axton|Polly Holliday|Dick Miller,Joe Dante,106,Fantasy|Horror|Comedy,Amblin Entertainment|Warner Bros.,23089462.43,321327866.6
7886,Barret Oliver|Gerald McRaney|Noah Hathaway|Drum Garrett|Darryl Cooksey,Wolfgang Petersen,102,Drama|Family|Fantasy|Adventure,Producers Sales Organization|Bavaria Film|Dieter Geissler Filmproduktion|Warner Bros.|Westdeutscher Rundfunk (WDR),56674135.06,42314185.45
7887,Eddie Murphy|Judge Reinhold|John Ashton|Ronny Cox|Paul Reiser,Martin Brest,105,Action|Comedy|Crime,Paramount Pictures|Eddie Murphy Productions,31485630.59,664053942.9
7888,Robert De Niro|James Woods|Elizabeth McGovern|Tuesday Weld|Treat Williams,Sergio Leone,229,Drama|Crime,Warner Bros.|The Ladd Company,62971261.18,0.0
7889,F. Murray Abraham|Tom Hulce|Elizabeth Berridge|Roy Dotrice|Simon Callow,MiloÅ¡ Forman,160,Drama|History|Music,Warner Bros.,37782756.71,109093572.8
7890,Ralph Macchio|Pat Morita|William Zabka|Martin Kove|Chad McQueen,John G. Avildsen,126,Drama,Columbia Pictures Corporation|Jerry Weintraub Productions|Delphi Films,16792336.31,190625674.1
7891,John Saxon|Ronee Blakley|Heather Langenkamp|Amanda Wyss|Jsu Garcia,Wes Craven,91,Horror,New Line Cinema|Smart Egg Pictures,3778275.671,53535044.98
7892,Arnold Schwarzenegger|Grace Jones|Wilt Chamberlain|Tracey Walter|Mako,Richard Fleischer,103,Adventure|Fantasy|Action,De Laurentiis Entertainment Group,37782756.71,65158536.45
7893,Roy Scheider|John Lithgow|Helen Mirren|Bob Balaban|Keir Dullea,Peter Hyams,116,Thriller|Science Fiction,Metro-Goldwyn-Mayer (MGM),58773177.1,84802677.45
7894,Kyle MacLachlan|Francesca Annis|Leonardo Cimino|Brad Dourif|JosÃ© Ferrer,David Lynch,137,Action|Science Fiction|Adventure,Dino De Laurentiis Company,83961681.57,64914323.4
7895,Michael Douglas|Kathleen Turner|Danny DeVito|Alfonso ArÃ¡u|Manuel Ojeda,Robert Zemeckis,106,Action|Adventure|Comedy|Romance,Twentieth Century Fox Film Corporation|SLM Production Group|Nina Saxon Film Design|El Corazon Producciones S.A.,20990420.39,181718767.0
7896,Steve Guttenberg|Kim Cattrall|G. W. Bailey|Bubba Smith|Donovan Scott,Hugh Wilson,96,Comedy|Crime,Warner Bros.|The Ladd Company,9445689.176,170439892.0
7897,Patrick Swayze|C. Thomas Howell|Lea Thompson|Darren Dalton|Charlie Sheen,John Milius,114,Action|Thriller,United Artists|Valkyrie Films,0.0,80553880.52
7898,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei,Leonard Nimoy,105,Science Fiction|Action|Adventure|Thriller,Paramount Pictures,37782756.71,182616657.4
7899,Robin Williams|MarÃ­a Conchita Alonso|Cleavant Derricks|Alejandro Rey|Savely Kramarov,Paul Mazursky,115,Comedy|Drama|Romance,Columbia Pictures,0.0,52685955.18
7900,Kevin Bacon|John Lithgow|Dianne Wiest|Chris Penn|Lori Singer,Herbert Ross,107,Drama|Family|Music|Romance,Paramount Pictures|IndieProd Company Productions,17212144.72,167997673.4
7901,Kimberly Beck|Erich Anderson|Corey Feldman|Barbara Howard|Crispin Glover,Joseph Zito,91,Horror|Thriller,Paramount Pictures,0.0,67.16934525
7902,Harry Dean Stanton|Emilio Estevez|Tracey Walter|Olivia Barash|Sy Richardson,Alex Cox,92,Comedy|Drama|Science Fiction,Edge City,3148563.059,4827796.69
7903,John Hurt|Richard Burton|Suzanna Hamilton|Cyril Cusack|Gregor Fisher,Michael Radford,113,Drama|Romance|Science Fiction,Umbrella-Rosenblum Film Production,0.0,0.0
7904,Faye Dunaway|Helen Slater|Peter O'Toole|Hart Bochner|Mia Farrow,Jeannot Szwarc,124,Adventure|Fantasy|Action|Science Fiction,St. Michael Finance Limited|Artistry Limited|Investors In Industry PLC|Robert Fleming Leasing Limited,73466471.37,0.0
7906,Jeff Bridges|Karen Allen|Charles Martin Smith|Richard Jaeckel|Robert Phalen,John Carpenter,115,Action|Adventure|Drama|Romance|Science Fiction,Columbia Pictures|Delphi II Productions|Industrial Light & Magic (ILM),46178924.86,60335611.63
7907,Tom Hanks|Tawny Kitaen|Adrian Zmed|George Grizzard|Tracy Smith,Neal Israel,105,Comedy,Bachelor Party Productions|Aspect Ratio Film|Twin Continental,12594252.24,80678668.57
7908,Christopher Guest|Michael McKean|Harry Shearer|R.J. Parnell|David Kaff,Rob Reiner,82,Comedy|Music,Spinal Tap Prod.,0.0,9941487.104
7909,Clint Eastwood|GeneviÃ¨ve Bujold|Dan Hedaya|Alison Eastwood|Jenny Beck,Richard Tuggle,115,Mystery|Thriller|Crime|Drama,Malpaso Productions,0.0,101055396.2
7910,Cheech Marin|Tommy Chong|Roy Dotrice|Shelby Chong|Edie McClurg,Tommy Chong,82,Comedy,MGM Home Entertainment,0.0,0.0
7911,Molly Ringwald|Justin Henry|Michael Schoeffling|Haviland Morris|Gedde Watanabe,John Hughes,93,Comedy|Romance,Universal Pictures,13643773.25,49717966.41
7912,Sam Waterston|Haing S. Ngor|Craig T. Nelson|John Malkovich|Athol Fugard,Roland JoffÃ©,141,War|Drama|History,Goldcrest Films International|International Film Investors|Enigma Productions,30226205.36,72837369.58
7913,Catherine Mary Stewart|Robert Beltran|Kelli Maroney|Sharon Farrell|Mary Woronov,Thom Eberhardt,95,Action|Comedy|Horror|Science Fiction|Thriller,Thomas Coleman and Michael Rosenblatt Productions|Film Development Fund|Atlantic Releasing Corporation,6297126.118,30265923.44
7914,Gene Wilder|Charles Grodin|Joseph Bologna|Judith Ivey|Michael Huddleston,Gene Wilder,87,Comedy|Romance,Orion Pictures,53105763.59,0.0
7915,Aubree Miller|Burl Ives|Daniel Frishman|Guy Boyd|Warwick Davis,John Korty,96,Adventure|Science Fiction,Lucasfilm|Korty Films,0.0,0.0
7916,Lance Guest|Dan O'Herlihy|Catherine Mary Stewart|Barbara Bosson|Norman Snow,Nick Castle,101,Adventure|Science Fiction|Action,Universal Pictures|Lorimar Film Entertainment,31485630.59,60312383.63
7917,George C. Scott|Roger Rees|David Warner|Susannah York|Edward Woodward,Clive Donner,100,TV Movie|Fantasy|Drama|Comedy|Family,Entertainment Partners Ltd.,0.0,0.0
7918,Tanya Roberts|Ted Wass|Donovan Scott|Elizabeth of Toro|France Zobda,John Guillermin,117,Adventure|Fantasy|Action|Comedy|Science Fiction,Columbia Pictures Corporation|Delphi II Productions|Colgems Productions Ltd.,52476050.98,12129005.86
7919,John Getz|Frances McDormand|Dan Hedaya|M. Emmet Walsh|Samm-Art Williams,Joel Coen,97,Crime|Drama|Thriller,Circle Films|River Road Productions|Foxton Entertainment,3148563.059,0.0
7920,Tom Hanks|Daryl Hannah|Eugene Levy|John Candy|Dody Goodman,Ron Howard,111,Comedy|Fantasy|Romance,Touchstone Pictures,16792336.31,146557915.3
7921,Harry Dean Stanton|Nastassja Kinski|Dean Stockwell|Hunter Carson|Aurore ClÃ©ment,Wim Wenders,147,Drama,Channel Four Films|Pro-ject Filmproduktion|Argos Films|Westdeutscher Rundfunk (WDR)|Road Movies Filmproduktion,3666950.877,4580082.442
7922,Craig Wasson|Melanie Griffith|Gregg Henry|Deborah Shelton|Guy Boyd,Brian De Palma,114,Mystery|Thriller,Columbia Pictures Corporation|Delphi II Productions,20990420.39,18475642.09
7923,Peter Weller|John Lithgow|Ellen Barkin|Jeff Goldblum|Christopher Lloyd,W.D. Richter,103,Comedy|Science Fiction,Sherwood Productions,0.0,0.0
7924,Clint Eastwood|Burt Reynolds|Jane Alexander|Madeline Kahn|Rip Torn,Richard Benjamin,93,Action|Comedy|Crime,"Warner Bros.|Deliverance Productions|Malpaso Company, The",52476050.98,80496137.97
7925,Dennis Quaid|Max von Sydow|Christopher Plummer|Eddie Albert|Kate Capshaw,Joseph Ruben,99,Adventure|Horror|Science Fiction|Thriller,Weintraub Entertainment Group|Zupnik-Curtis Enterprises|Chevy Chase Films,0.0,25493220.3
7926,Mel Gibson|Anthony Hopkins|Laurence Olivier|Edward Fox|Daniel Day-Lewis,Roger Donaldson,132,Action|Drama|History,Dino De Laurentiis Company,18051761.54,0.0
7927,Richard Gere|Diane Lane|Bob Hoskins|James Remar|Nicolas Cage,Francis Ford Coppola,127,Music|Drama|Crime|Romance,Orion Pictures|PSO International|Totally Independent,121744438.3,54425475.4
7928,Tim Thomerson|Helen Hunt|Biff Manard|Michael Stefani|Art LaFleur,Charles Band,77,Horror|Science Fiction|Crime,Empire Pictures|# Lexyn Productions|Lexyn Productions,0.0,0.0
7929,Jim Henson|Frank Oz|Dave Goelz|Steve Whitmire|Richard Hunt,Frank Oz,94,Romance|Comedy|Family,"TriStar Pictures|Jim Henson Company, The|Delphi II Productions",16792336.31,0.0
7930,Val Kilmer|Lucy Gutteridge|Peter Cushing|Jeremy Kemp|Christopher Villiers,Jim Abrahams|David Zucker|Jerry Zucker,90,Comedy,Paramount Pictures,18891378.35,42942915.71
7931,Jeff Bridges|Rachel Ward|James Woods|Alex Karras|Jane Greer,Taylor Hackford,128,Action|Adventure|Crime|Drama|Mystery,Columbia Pictures,0.0,0.0
7932,Michael Caine|Michelle Johnson|Joseph Bologna|Demi Moore|Valerie Harper,Stanley Donen,100,Comedy|Romance,Sherwood,0.0,0.0
7934,Christopher Lambert|Andie MacDowell|Ralph Richardson|Ian Holm|James Fox,Hugh Hudson,143,Adventure|Drama|Action|Romance,Warner Bros.|Edgar Rice Burroughs Inc.,0.0,96259051.59
7935,Matthew Modine|Nicolas Cage|John Harkins|Sandy Baron|Dolores Sage,Alan Parker,120,Drama|History,TriStar Pictures,0.0,0.0
7936,Prince|Apollonia Kotero|Morris Day|Olga Karlatos|Clarence Williams III,Albert Magnoli,111,Drama|Music|Romance,Warner Bros.|Water|Purple Films,15113102.68,143559733.9
7937,Robert De Niro|Meryl Streep|Harvey Keitel|Jane Kaczmarek|George Martin,Ulu Grosbard,102,Drama|Romance,Paramount Pictures,0.0,23360358.5
7938,Chuck Norris|M. Emmet Walsh|David Tress|Lenore Kasdorf|James Hong,Joseph Zito,101,Action|Adventure|Thriller|War,Cannon Group,5352557.2,47884209.7
7939,Steve Martin|Lily Tomlin|Victoria Tennant|Madolyn Smith Osborne|Richard Libertini,Carl Reiner,93,Fantasy|Comedy|Science Fiction|Romance,Universal Pictures|Kings Road Entertainment|Thorn EMI Screen Entertainment,0.0,0.0
7940,Robert Redford|Glenn Close|Kim Basinger|Wilford Brimley|Robert Duvall,Barry Levinson,137,Drama,TriStar Pictures,58773177.1,100653219.8
7941,Robert Carradine|Anthony Edwards|Timothy Busfield|Andrew Cassese|Curtis Armstrong,Jeff Kanew,90,Comedy,Twentieth Century Fox Film Corporation|Interscope Communications|Zacharias-Buhai Productions,0.0,0.0
7942,Peter Horton|Linda Hamilton|R. G. Armstrong|John Franklin|Courtney Gains,Fritz Kiersch,93,Drama|Fantasy|Horror|Thriller,Hal Roach Studios|Cinema Group|Planet Productions|Angeles Entertainment Group|Inverness Productions,1679233.631,29386588.55
7943,Shelley Duvall|Daniel Stern|Barret Oliver|Joseph Maher|Roz Braverman,Tim Burton,29,Comedy|Family,Walt Disney Pictures,0.0,0.0
7944,Mitch Cohen|Andree Maranda|Jennifer Prichard|Cindy Manion|Robert Prichard,Lloyd Kaufman|Michael Herz,82,Science Fiction|Action|Comedy|Horror,Troma Entertainment,0.0,0.0
7945,Tamara Stafford|Kevin Spirtas|Colleen Riley|Michael Berryman|Janus Blythe,Wes Craven,86,Horror,Castle Hill Productions|VTC,1469329.427,0.0
7946,Judy Davis|Alec Guinness|Peggy Ashcroft|James Fox|Victor Banerjee,David Lean,163,Drama|Adventure|History,Columbia Pictures|EMI Films Ltd.|Thorn EMI Screen Entertainment|Home Box Office,16792336.31,57068026.59
7947,Michael ParÃ©|Diane Lane|Rick Moranis|Amy Madigan|Willem Dafoe,Walter Hill,93,Action|Thriller|Music,Universal Pictures,30436109.57,16979759.78
7948,David Byrne|Tina Weymouth|Chris Frantz|Jerry Harrison|Steven Scales,Jonathan Demme,88,Documentary|Music,Talking Heads|Arnold Stiefel Company,2518850.447,10450966.59
7949,Linda Blair|John Vernon|Robert Dryer|Johnny Venocur|Sal Landi,Danny Steinmann,92,Horror|Action|Crime|Thriller,Ginso Investment Corp,0.0,0.0
7950,Henry Thomas|Dabney Coleman|Michael Murphy|Christina Nigra|John McIntire,Richard Franklin,101,Adventure|Action|Family,Universal Pictures,0.0,0.0
7951,Michael Keaton|Peter Boyle|Griffin Dunne|Marilu Henner|Joe Piscopo,Amy Heckerling,90,Action|Comedy|Thriller|Crime,20th Century Fox|Edgewood Productions,0.0,0.0
